time,fluorescence
0,0.002844501
0.01666667,0.02326956
0.03333333,0.01889771
0.05,0.02243328
0.06666667,0.02244508
0.08333333,0.02282497
0.1,0.02480309
0.1166667,0.02175766
0.1333333,0.02336963
0.15,0.02590915
0.1666667,0.02301449
0.1833333,0.0274593
0.2,0.02423471
0.2166667,0.02621193
0.2333333,0.02073264
0.25,0.01399238
0.2666667,0.02218907
0.2833333,0.02453153
0.3,0.01964586
0.3166667,0.02191201
0.3333333,0.0227302
0.35,0.01954401
0.3666667,0.02078569
0.3833333,0.02007276
0.4,0.01774655
0.4166667,0.02052465
0.4333333,0.01526886
0.45,0.02019509
0.4666667,0.02114209
0.4833333,0.01756517
0.5,0.02384555
0.5166667,0.02520652
0.5333333,0.02270361
0.55,0.01980597
0.5666667,0.02614399
0.5833333,0.02180365
0.6,0.02555636
0.6166667,0.0253159
0.6333333,0.02342513
0.65,0.0153919
0.6666667,0.02022347
0.6833333,0.01938661
0.7,0.01443379
0.7166667,0.01524939
0.7333333,0.01706929
0.75,0.02117823
0.7666667,0.02119906
0.7833333,0.01290744
0.8,0.01806348
0.8166667,0.01776165
0.8333333,0.02097398
0.85,0.02139664
0.8666667,0.01700199
0.8833333,0.01093994
0.9,0.01712295
0.9166667,0.01861523
0.9333333,0.01987766
0.95,0.01722197
0.9666667,0.01676938
0.9833333,0.01799951
1,0.01739263
1.016667,0.01664595
1.033333,0.01361479
1.05,0.01944965
1.066667,0.01493758
1.083333,0.01789622
1.1,0.01464813
1.116667,0.01689324
1.133333,0.01592859
1.15,0.0170753
1.166667,0.01031963
1.183333,0.008571034
1.2,0.01338676
1.216667,0.01965882
1.233333,0.01559544
1.25,0.009089625
1.266667,0.01360325
1.283333,0.01270252
1.3,0.01995308
1.316667,0.01947302
1.333333,0.01951076
1.35,0.008920294
1.366667,0.01401444
1.383333,0.01764223
1.4,0.01805647
1.416667,0.01427963
1.433333,0.009010863
1.45,0.006888437
1.466667,0.009094054
1.483333,0.007614923
1.5,0.008326923
1.516667,0.005542672
1.533333,0.01361241
1.55,0.007405853
1.566667,0.00377683
1.583333,0.01053111
1.6,0.007306224
1.616667,0.00603618
1.633333,0.009644294
1.65,0.006492323
1.666667,0.01339704
1.683333,0.01163889
1.7,0.006707513
1.716667,0.01109939
1.733333,0.01024162
1.75,0.01289436
1.766667,0.00449996
1.783333,0.005153954
1.8,0.0117669
1.816667,0.01460472
1.833333,0.002813876
1.85,0.003193015
1.866667,0.01074613
1.883333,-0.001007944
1.9,0.004819917
1.916667,0.009827757
1.933333,0.002644712
1.95,0.000866604
1.966667,0.001940381
1.983333,0.004007465
2,0.008221239
2.016667,0.006985897
2.033333,0.00340122
2.05,0.008248866
2.066667,0.008509499
2.083333,0.006829184
2.1,0.007507205
2.116667,0.005008596
2.133333,0.003328723
2.15,0.00116564
2.166667,0.01436238
2.183333,0.008500898
2.2,0.001130891
2.216667,0.01191898
2.233333,0.01065854
2.25,0.009424781
2.266667,0.004408836
2.283333,0.002225369
2.3,0.006769568
2.316667,0.005260938
2.333333,0.0100278
2.35,0.008132517
2.366667,0.001870227
2.383333,0.004052269
2.4,-0.00685249
2.416667,0.004513568
2.433333,0.008012086
2.45,-0.003313988
2.466667,0.01174371
2.483333,0.008109516
2.5,-0.000385982
2.516667,0.007836116
2.533333,0.00345943
2.55,-0.003215003
2.566667,0.00898912
2.583333,0.003195584
2.6,0.005281681
2.616667,0.003636318
2.633333,0.003873807
2.65,0.008914488
2.666667,0.006089842
2.683333,0.004540342
2.7,0.008503402
2.716667,0.008977538
2.733333,0.008870942
2.75,0.004177785
2.766667,0.01485485
2.783333,0.007893813
2.8,0.01155353
2.816667,0.009352827
2.833333,0.007134521
2.85,0.008317471
2.866667,0.007505405
2.883333,0.007723856
2.9,0.006089437
2.916667,0.01523103
2.933333,0.007333613
2.95,0.005202764
2.966667,0.01067014
2.983333,0.005524808
3,0.01027858
3.016667,0.007574928
3.033333,0.0137822
3.05,0.01315725
3.066667,0.01221061
3.083333,0.009249544
3.1,0.01278773
3.116667,0.009464508
3.133333,0.009180069
3.15,0.01601569
3.166667,0.00652144
3.183333,0.005784655
3.2,0.008089274
3.216667,0.01399253
3.233333,0.01348849
3.25,0.01516414
3.266667,0.01337247
3.283333,0.001551366
3.3,0.01464404
3.316667,0.0126932
3.333333,0.01241798
3.35,0.01141514
3.366667,0.01140205
3.383333,0.010723
3.4,0.01405659
3.416667,0.007551879
3.433333,0.01142522
3.45,0.01624461
3.466667,0.008277166
3.483333,0.004151755
3.5,0.01404655
3.516667,0.01712661
3.533333,0.01634102
3.55,0.009941518
3.566667,0.01065503
3.583333,0.009917605
3.6,0.01042796
3.616667,0.01185119
3.633333,0.009813517
3.65,0.01492791
3.666667,0.01464551
3.683333,0.01031841
3.7,0.0168722
3.716667,0.01902106
3.733333,0.01825337
3.75,0.0278165
3.766667,0.03541667
3.783333,0.03245217
3.8,0.04385656
3.816667,0.06235189
3.833333,0.07624555
3.85,0.1021968
3.866667,0.1217878
3.883333,0.1514896
3.9,0.1818646
3.916667,0.2153571
3.933333,0.2479553
3.95,0.2846168
3.966667,0.3092093
3.983333,0.3433235
4,0.3706674
4.016667,0.4045027
4.033333,0.4352902
4.05,0.4821874
4.066667,0.5462825
4.083333,0.629464
4.1,0.7456965
4.116667,0.9502019
4.133333,1.253708
4.15,1.81899
4.166667,2.755754
4.183333,4.247554
4.2,6.429645
4.216667,9.216825
4.233333,12.44241
4.25,15.75444
4.266667,18.84746
4.283333,21.44154
4.3,23.37596
4.316667,24.65699
4.333333,25.2989
4.35,25.42813
4.366667,25.13586
4.383333,24.49498
4.4,23.55123
4.416667,22.48506
4.433333,21.24011
4.45,19.87369
4.466667,18.49189
4.483333,17.10228
4.5,15.70853
4.516667,14.32261
4.533333,12.99652
4.55,11.74509
4.566667,10.5992
4.583333,9.518167
4.6,8.5128
4.616667,7.621894
4.633333,6.772514
4.65,6.002316
4.666667,5.325774
4.683333,4.684244
4.7,4.128296
4.716667,3.62488
4.733333,3.167733
4.75,2.779427
4.766667,2.432256
4.783333,2.103674
4.8,1.8331
4.816667,1.608489
4.833333,1.380595
4.85,1.198
4.866667,1.044557
4.883333,0.9042228
